comparison,label,tp,fp,fn,precision,recall
auditor_a_vs_b,add-activation-criterion,17,9,0,0.6538461538461539,1.0
auditor_a_vs_b,add-consent-gate,15,7,0,0.6818181818181818,1.0
auditor_a_vs_b,add-decision-rule,46,8,0,0.8518518518518519,1.0
auditor_a_vs_b,add-design-principle,6,7,0,0.46153846153846156,1.0
auditor_a_vs_b,add-eval-suite-resource,5,7,2,0.4166666666666667,0.7142857142857143
auditor_a_vs_b,add-example,13,15,0,0.4642857142857143,1.0
auditor_a_vs_b,add-hard-constraint,41,9,0,0.82,1.0
auditor_a_vs_b,add-instruction-guardrail,7,1,0,0.875,1.0
auditor_a_vs_b,add-output-asset,1,1,0,0.5,1.0
auditor_a_vs_b,add-output-format-spec,15,4,0,0.7894736842105263,1.0
auditor_a_vs_b,add-platform-specific-branch,14,1,0,0.9333333333333333,1.0
auditor_a_vs_b,add-precondition-check,22,9,0,0.7096774193548387,1.0
auditor_a_vs_b,add-priority-hierarchy,3,3,0,0.5,1.0
auditor_a_vs_b,add-procedure-step,44,16,0,0.7333333333333333,1.0
auditor_a_vs_b,add-prompt-template-resource,13,7,0,0.65,1.0
auditor_a_vs_b,add-reference-doc,30,2,0,0.9375,1.0
auditor_a_vs_b,add-review-round,23,13,0,0.6388888888888888,1.0
auditor_a_vs_b,add-scoring-rubric,4,2,0,0.6666666666666666,1.0
auditor_a_vs_b,add-sub-workflow,15,3,0,0.8333333333333334,1.0
auditor_a_vs_b,add-template,6,12,1,0.3333333333333333,0.8571428571428571
auditor_a_vs_b,add-tool-config,4,2,0,0.6666666666666666,1.0
auditor_a_vs_b,add-voice-rule,0,1,0,0.0,
auditor_a_vs_b,change-artifact-storage,30,7,0,0.8108108108108109,1.0
auditor_a_vs_b,fix-skill-instruction-bug,29,2,1,0.9354838709677419,0.9666666666666667
auditor_a_vs_b,integrate-external-system,29,9,0,0.7631578947368421,1.0
auditor_a_vs_b,modify-skill-metadata,47,4,0,0.9215686274509803,1.0
auditor_a_vs_b,personalize-defaults,11,1,4,0.9166666666666666,0.7333333333333333
auditor_a_vs_b,relax-constraint,26,0,0,1.0,1.0
auditor_a_vs_b,remove-auxiliary-file,11,1,0,0.9166666666666666,1.0
auditor_a_vs_b,remove-procedure-step,14,1,0,0.9333333333333333,1.0
auditor_a_vs_b,rename-or-reorganize-structure,21,3,0,0.875,1.0
auditor_a_vs_b,reorder-steps,3,0,0,1.0,1.0
auditor_a_vs_b,retarget-domain-stack,8,1,0,0.8888888888888888,1.0
auditor_a_vs_b,retarget-host-tooling,27,5,1,0.84375,0.9642857142857143
auditor_a_vs_b,retarget-version-api,4,0,0,1.0,1.0
auditor_a_vs_b,script-add-feature,16,0,1,1.0,0.9411764705882353
auditor_a_vs_b,script-add-input-validation,8,1,0,0.8888888888888888,1.0
auditor_a_vs_b,script-add-safety-guard,5,5,0,0.5,1.0
auditor_a_vs_b,script-fix-logic-bug,7,2,1,0.7777777777777778,0.875
auditor_a_vs_b,script-fix-platform-compat,5,2,0,0.7142857142857143,1.0
auditor_a_vs_b,script-optimize,5,0,0,1.0,1.0
auditor_a_vs_b,script-refactor,7,1,1,0.875,0.875
auditor_a_vs_b,style-or-format-content,17,2,0,0.8947368421052632,1.0
auditor_a_vs_b,swap-execution-model,25,2,0,0.9259259259259259,1.0
auditor_a_vs_b,tighten-instruction-wording,9,2,0,0.8181818181818182,1.0
auditor_a_vs_b,translate-skill-content,33,1,0,0.9705882352941176,1.0
sample,add-activation-criterion,15,1,8,0.9375,0.6521739130434783
sample,add-consent-gate,15,0,4,1.0,0.7894736842105263
sample,add-decision-rule,44,0,8,1.0,0.8461538461538461
sample,add-design-principle,5,0,7,1.0,0.4166666666666667
sample,add-eval-suite-resource,4,0,1,1.0,0.8
sample,add-example,13,0,10,1.0,0.5652173913043478
sample,add-hard-constraint,38,1,11,0.9743589743589743,0.7755102040816326
sample,add-instruction-guardrail,7,0,1,1.0,0.875
sample,add-output-asset,1,2,0,0.3333333333333333,1.0
sample,add-output-format-spec,14,0,4,1.0,0.7777777777777778
sample,add-platform-specific-branch,13,0,1,1.0,0.9285714285714286
sample,add-precondition-check,21,2,4,0.9130434782608695,0.84
sample,add-priority-hierarchy,3,0,3,1.0,0.5
sample,add-procedure-step,44,1,14,0.9777777777777777,0.7586206896551724
sample,add-prompt-template-resource,13,1,2,0.9285714285714286,0.8666666666666667
sample,add-reference-doc,30,6,0,0.8333333333333334,1.0
sample,add-review-round,23,0,6,1.0,0.7931034482758621
sample,add-scoring-rubric,4,0,1,1.0,0.8
sample,add-sub-workflow,14,0,3,1.0,0.8235294117647058
sample,add-template,6,0,1,1.0,0.8571428571428571
sample,add-tool-config,4,0,1,1.0,0.8
sample,add-voice-rule,0,0,1,,0.0
sample,change-artifact-storage,29,1,6,0.9666666666666667,0.8285714285714286
sample,fix-skill-instruction-bug,28,1,2,0.9655172413793104,0.9333333333333333
sample,integrate-external-system,28,1,6,0.9655172413793104,0.8235294117647058
sample,modify-skill-metadata,46,1,4,0.9787234042553191,0.92
sample,personalize-defaults,11,0,2,1.0,0.8461538461538461
sample,relax-constraint,22,1,0,0.9565217391304348,1.0
sample,remove-auxiliary-file,11,1,1,0.9166666666666666,0.9166666666666666
sample,remove-procedure-step,13,0,1,1.0,0.9285714285714286
sample,rename-or-reorganize-structure,20,3,2,0.8695652173913043,0.9090909090909091
sample,reorder-steps,3,0,0,1.0,1.0
sample,retarget-domain-stack,7,1,1,0.875,0.875
sample,retarget-host-tooling,24,1,7,0.96,0.7741935483870968
sample,retarget-version-api,4,0,0,1.0,1.0
sample,script-add-feature,15,0,0,1.0,1.0
sample,script-add-input-validation,7,0,1,1.0,0.875
sample,script-add-safety-guard,5,0,5,1.0,0.5
sample,script-fix-logic-bug,7,0,1,1.0,0.875
sample,script-fix-platform-compat,4,2,0,0.6666666666666666,1.0
sample,script-optimize,5,0,0,1.0,1.0
sample,script-refactor,6,0,2,1.0,0.75
sample,style-or-format-content,16,0,1,1.0,0.9411764705882353
sample,swap-execution-model,24,0,2,1.0,0.9230769230769231
sample,tighten-instruction-wording,8,2,1,0.8,0.8888888888888888
sample,translate-skill-content,33,1,0,0.9705882352941176,1.0
low-confidence,add-activation-criterion,1,0,0,1.0,1.0
low-confidence,add-decision-rule,2,0,0,1.0,1.0
low-confidence,add-eval-suite-resource,1,0,0,1.0,1.0
low-confidence,add-hard-constraint,1,0,0,1.0,1.0
low-confidence,add-output-asset,0,1,0,0.0,
low-confidence,add-output-format-spec,1,0,0,1.0,1.0
low-confidence,add-platform-specific-branch,1,0,0,1.0,1.0
low-confidence,add-precondition-check,1,0,0,1.0,1.0
low-confidence,add-reference-doc,0,17,1,0.0,0.0
low-confidence,add-review-round,0,1,1,0.0,0.0
low-confidence,change-artifact-storage,1,0,0,1.0,1.0
low-confidence,fix-skill-instruction-bug,1,0,0,1.0,1.0
low-confidence,integrate-external-system,1,0,0,1.0,1.0
low-confidence,modify-skill-metadata,1,0,0,1.0,1.0
low-confidence,relax-constraint,4,0,0,1.0,1.0
low-confidence,remove-auxiliary-file,0,1,0,0.0,
low-confidence,remove-procedure-step,1,0,0,1.0,1.0
low-confidence,rename-or-reorganize-structure,1,1,0,0.5,1.0
low-confidence,retarget-host-tooling,2,0,0,1.0,1.0
low-confidence,script-add-feature,1,1,0,0.5,1.0
low-confidence,script-add-input-validation,1,0,0,1.0,1.0
low-confidence,script-fix-platform-compat,1,0,0,1.0,1.0
low-confidence,script-refactor,1,0,0,1.0,1.0
low-confidence,style-or-format-content,1,1,0,0.5,1.0
low-confidence,swap-execution-model,1,1,0,0.5,1.0
low-confidence,translate-skill-content,0,1,0,0.0,
total,add-activation-criterion,16,1,8,0.9411764705882353,0.6666666666666666
total,add-consent-gate,15,0,4,1.0,0.7894736842105263
total,add-decision-rule,46,0,8,1.0,0.8518518518518519
total,add-design-principle,5,0,7,1.0,0.4166666666666667
total,add-eval-suite-resource,5,0,1,1.0,0.8333333333333334
total,add-example,13,0,10,1.0,0.5652173913043478
total,add-hard-constraint,39,1,11,0.975,0.78
total,add-instruction-guardrail,7,0,1,1.0,0.875
total,add-output-asset,1,3,0,0.25,1.0
total,add-output-format-spec,15,0,4,1.0,0.7894736842105263
total,add-platform-specific-branch,14,0,1,1.0,0.9333333333333333
total,add-precondition-check,22,2,4,0.9166666666666666,0.8461538461538461
total,add-priority-hierarchy,3,0,3,1.0,0.5
total,add-procedure-step,44,1,14,0.9777777777777777,0.7586206896551724
total,add-prompt-template-resource,13,1,2,0.9285714285714286,0.8666666666666667
total,add-reference-doc,30,23,1,0.5660377358490566,0.967741935483871
total,add-review-round,23,1,7,0.9583333333333334,0.7666666666666667
total,add-scoring-rubric,4,0,1,1.0,0.8
total,add-sub-workflow,14,0,3,1.0,0.8235294117647058
total,add-template,6,0,1,1.0,0.8571428571428571
total,add-tool-config,4,0,1,1.0,0.8
total,add-voice-rule,0,0,1,,0.0
total,change-artifact-storage,30,1,6,0.967741935483871,0.8333333333333334
total,fix-skill-instruction-bug,29,1,2,0.9666666666666667,0.9354838709677419
total,integrate-external-system,29,1,6,0.9666666666666667,0.8285714285714286
total,modify-skill-metadata,47,1,4,0.9791666666666666,0.9215686274509803
total,personalize-defaults,11,0,2,1.0,0.8461538461538461
total,relax-constraint,26,1,0,0.9629629629629629,1.0
total,remove-auxiliary-file,11,2,1,0.8461538461538461,0.9166666666666666
total,remove-procedure-step,14,0,1,1.0,0.9333333333333333
total,rename-or-reorganize-structure,21,4,2,0.84,0.9130434782608695
total,reorder-steps,3,0,0,1.0,1.0
total,retarget-domain-stack,7,1,1,0.875,0.875
total,retarget-host-tooling,26,1,7,0.9629629629629629,0.7878787878787878
total,retarget-version-api,4,0,0,1.0,1.0
total,script-add-feature,16,1,0,0.9411764705882353,1.0
total,script-add-input-validation,8,0,1,1.0,0.8888888888888888
total,script-add-safety-guard,5,0,5,1.0,0.5
total,script-fix-logic-bug,7,0,1,1.0,0.875
total,script-fix-platform-compat,5,2,0,0.7142857142857143,1.0
total,script-optimize,5,0,0,1.0,1.0
total,script-refactor,7,0,2,1.0,0.7777777777777778
total,style-or-format-content,17,1,1,0.9444444444444444,0.9444444444444444
total,swap-execution-model,25,1,2,0.9615384615384616,0.9259259259259259
total,tighten-instruction-wording,8,2,1,0.8,0.8888888888888888
total,translate-skill-content,33,2,0,0.9428571428571428,1.0
